wetland_code,wetland,station,sitecode,log_flux,fluxrate,wl_cm,wfps,wl_rising,wl_change1,wl_change7,flux_cat,colorcat,event,date,wl_delta1,wl_delta7,air_temp_C,DEWP,STP_kPa,precip_mm,snow_mm,RH,water_temp_C,precip_sum2,precip_sum3,precip_sum4,ice_cover,soil_temp,vwc,dist_m,rel_elev_m,afp,wfps_interp,inundated
W2,DB,NA,NA,-3.090810280312563,-0.0045349,-79.7916304126156,29.921857248900935,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.186837090493145,-0.0086977,-134.53418851536,25.500235093925625,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-2.9132150300711523,0.00430087,-70.50951732753839,51.15139756576228,Water level falling,falling,falling,NA,Non-inundated source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.0467014099601015,-0.0024846,-112.081381192718,21.48057753500651,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.0560811833824695,-0.0029282,-12.4662074288741,68.478344722119445,Water level rising,rising,rising,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.0421071568639464,-0.0022658,-61.1492396087434,50.114079316828004,Water level rising,rising,rising,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-2.8140670987982683,0.00996063,-5.09762884575742,71.25792780684061,Water level rising,rising,rising,NA,Non-inundated source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2,DB,NA,NA,-3.05341223514103,-0.0028024,-42.204578873029604,57.260404477480435,Water level rising,rising,rising,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W5,DK,NA,NA,-3.066573280362858,-0.0034195,-43.472688066097795,48.42867416680404,Water level falling,falling,falling,NA,Non-inundated sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W5,DK,NA,NA,-2.8049461425622093,0.01051003,-75.7161919360594,34.27295801690823,Water level falling,falling,falling,NA,Non-inundated source,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
